Prscrbr_NPI,Prscrbr_Last_Org_Name,Prscrbr_First_Name,Prscrbr_City,Prscrbr_State_Abrvtn,Prscrbr_State_FIPS,Prscrbr_Type,Prscrbr_Type_Src,Brnd_Name,Gnrc_Name,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,GE65_Sprsn_Flag,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Tot_Day_Suply,GE65_Bene_Sprsn_Flag,GE65_Tot_Benes
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Acetaminophen-Codeine,Acetaminophen With Codeine,32,32,661,610.44,16,,21,21,275.47,414,#,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Amitriptyline Hcl,Amitriptyline Hcl,87,103,3082,1564.91,40,,32,38,431.97,1140,,19
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Baclofen,Baclofen,132,138,4140,3390.42,58,,87,89,2172.46,2670,,38
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Buprenorphine,Buprenorphine,23,23,650,9206.49,13,#,,,,,*,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Buprenorphine-Naloxone,Buprenorphine Hcl/Naloxone Hcl,13,13,390,3256.54,,*,,,,,*,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Butalbital-Acetaminophen-Caffe,Butalb/Acetaminophen/Caffeine,17,17,510,487.63,,*,,,,,*,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Celecoxib,Celecoxib,38,42,1260,1523.04,15,,23,27,666.63,810,#,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Cephalexin,Cephalexin,23,23,203,210.74,21,#,,,,,#,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,151,153,4545,1641.11,61,,94,94,738.91,2820,,36
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Diclofenac Sodium,Diclofenac Sodium,226,265.6,6801,6502.47,102,,145,164.4,4057.25,4187,,67
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Duloxetine Hcl,Duloxetine Hcl,53,63,1890,1629.68,23,,28,30,524.54,900,#,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Eszopiclone,Eszopiclone,11,11,330,147.72,,*,,,,,*,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Fentanyl,Fentanyl,43,43,1290,5031.01,20,,32,32,3276.02,960,#,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Gabapentin,Gabapentin,577,649.7,19421,10945.83,268,,399,458,7288.96,13671,,198
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Hydrocodone-Acetaminophen,Hydrocodone/Acetaminophen,1103,1103,31748,36461.34,498,,823,823,26360.77,23736,,371
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Hydromorphone Hcl,Hydromorphone Hcl,60,60,1605,1028.66,32,,25,25,529.46,681,,14
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Ibuprofen,Ibuprofen,120,126,3705,1441.11,64,,59,65,722.81,1950,,35
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Lansoprazole,Lansoprazole,15,15,375,520.36,,#,,,,,*,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Lidocaine,Lidocaine,56,63,1757,5735.92,32,,29,36,2649.23,995,,19
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Meloxicam,Meloxicam,146,176,5281,1204.83,73,,106,126,865.37,3781,,54
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Methocarbamol,Methocarbamol,29,31,910,399.69,16,,12,14,69.03,420,*,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Morphine Sulfate,Morphine Sulfate,47,47,1407,1732.25,26,,24,24,828.31,720,*,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Morphine Sulfate Er,Morphine Sulfate,241,241,7099,6193.85,112,,178,178,4554.55,5287,,78
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Movantik,Naloxegol Oxalate,22,24,720,9966.47,,#,,,,,*,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Naloxone Hcl,Naloxone Hcl,300,377.7,7636,24256.58,284,,201,256.3,16530.47,5229,,191
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Naproxen,Naproxen,34,38,1140,1251.69,16,,21,25,1146.77,750,*,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Omeprazole,Omeprazole,55,67,2010,729.95,15,,43,51,498.58,1530,#,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Ondansetron Odt,Ondansetron,35,35,1012,760.56,15,#,,,,,#,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Oxycodone Hcl,Oxycodone Hcl,523,523,15227,13399.73,235,,339,339,8589.34,9949,,152
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Oxycodone-Acetaminophen,Oxycodone Hcl/Acetaminophen,486,486,13885,21251.45,222,,335,335,14054.01,9542,,157
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Oxycontin,Oxycodone Hcl,30,30,847,21081.38,11,#,,,,,*,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Pantoprazole Sodium,Pantoprazole Sodium,14,18,540,162.2,,*,,,,,*,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Pregabalin,Pregabalin,220,227,6797,7141.27,104,,109,116,3007.13,3480,,56
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Relistor,Methylnaltrexone Bromide,33,33,990,78499.16,15,#,,,,,*,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Ropinirole Hcl,Ropinirole Hcl,31,39,1170,563,15,#,,,,,#,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Tizanidine Hcl,Tizanidine Hcl,89,91,2475,1047.5,41,,63,63,809.59,1698,,24
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Topiramate,Topiramate,37,45,1310,602.96,18,,19,19,132.77,530,*,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Tramadol Hcl,Tramadol Hcl,301,301,7815,3701.47,142,,270,270,3278.11,6908,,124
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Tramadol Hcl Er,Tramadol Hcl,23,23,689,1724.24,,#,,,,,*,
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Trazodone Hcl,Trazodone Hcl,111,127,3790,1084.29,38,,78,88,801.5,2640,,26
1003001363,Stevens,Charles,El Centro,CA,06,Pain Management,Claim-Specialty,Xtampza Er,Oxycodone Myristate,32,32,922,14851.66,12,,13,13,8611.07,367,*,
1003001645,Trivedi,Vinod,Sacramento,CA,06,Infectious Disease,Claim-Specialty,Amoxicillin,Amoxicillin,51,63,1598,345.8,,,51,63,345.8,1598,*,
1003001645,Trivedi,Vinod,Sacramento,CA,06,Infectious Disease,Claim-Specialty,Amoxicillin-Clavulanate Potass,Amoxicillin/Potassium Clav,15,15,401,574.82,,#,,,,,*,
1003001645,Trivedi,Vinod,Sacramento,CA,06,Infectious Disease,Claim-Specialty,Azithromycin,Azithromycin,56,82,2286,1437.83,14,#,,,,,#,
1003001645,Trivedi,Vinod,Sacramento,CA,06,Infectious Disease,Claim-Specialty,Biktarvy,Bictegrav/Emtricit/Tenofov Ala,119,133,3990,531623.88,13,,55,69,269358.1,2070,*,
1003001645,Trivedi,Vinod,Sacramento,CA,06,Infectious Disease,Claim-Specialty,Cefadroxil,Cefadroxil,18,18,316,1436.38,,,18,18,1436.38,316,*,
1003001645,Trivedi,Vinod,Sacramento,CA,06,Infectious Disease,Claim-Specialty,Cefepime Hcl,Cefepime Hcl,25,25,141,6141.85,,,12,12,2366.32,58,*,
1003001645,Trivedi,Vinod,Sacramento,CA,06,Infectious Disease,Claim-Specialty,Cefpodoxime Proxetil,Cefpodoxime Proxetil,16,16,443,1743.73,,#,,,,,*,
1003001645,Trivedi,Vinod,Sacramento,CA,06,Infectious Disease,Claim-Specialty,Ceftriaxone,Ceftriaxone Sodium,19,19,117,1119.58,,#,,,,,*,
1003001645,Trivedi,Vinod,Sacramento,CA,06,Infectious Disease,Claim-Specialty,Cephalexin,Cephalexin,53,65,1740,770.97,11,,53,65,770.97,1740,,11
1003001645,Trivedi,Vinod,Sacramento,CA,06,Infectious Disease,Claim-Specialty,Ciprofloxacin Hcl,Ciprofloxacin Hcl,18,18,326,294.31,,#,,,,,*,
1003001645,Trivedi,Vinod,Sacramento,CA,06,Infectious Disease,Claim-Specialty,Daptomycin,Daptomycin,17,17,93,6690,,#,,,,,*,
1003001645,Trivedi,Vinod,Sacramento,CA,06,Infectious Disease,Claim-Specialty,Descovy,Emtricitabine/Tenofov Alafenam,12,12,360,25418.4,,,12,12,25418.4,360,*,
